State,District,Crop_Year,Season,Crop,Area,Production,Yield,mean_ndvi,Annual_Temp,Monsoon_Temp,Yield_Predicted,Alert
haryana,faridabad,1997,Kharif     ,bajra,19000.0,22000.0,1.1578947368421053,0.0959,25.35,28.13,1.2185842,✅ OK
haryana,faridabad,1997,Kharif     ,jowar,28000.0,8000.0,0.2857142857142857,0.0959,25.35,28.13,0.5479526,🚨 Low Yield
haryana,faridabad,1997,Kharif     ,maize,1000.0,2000.0,2.0,0.0959,25.35,28.13,1.6772041,✅ OK
haryana,faridabad,1997,Kharif     ,other kharif pulses,6800.0,4500.0,0.6617647058823529,0.0959,25.35,28.13,0.9437102,✅ OK
haryana,faridabad,1997,Kharif     ,rice,21000.0,59000.0,2.8095238095238093,0.0959,25.35,28.13,2.1329248,✅ OK
haryana,faridabad,1997,Rabi       ,barley,2000.0,5000.0,2.5,0.0959,25.35,28.13,2.859047,✅ OK
haryana,faridabad,1997,Rabi       ,other  rabi pulses,6000.0,2000.0,0.3333333333333333,0.0959,25.35,28.13,1.3182437,✅ OK
haryana,faridabad,1997,Rabi       ,wheat,119000.0,449000.0,3.773109243697479,0.0959,25.35,28.13,3.737895,✅ OK
haryana,faridabad,1997,Whole Year ,sugarcane,9000.0,380000.0,42.22222222222222,0.0959,25.35,28.13,52.69015,✅ OK
haryana,faridabad,1998,Kharif     ,arhar/tur,2952.0,2600.0,0.8807588075880759,0.0959,25.72,28.31,1.0290642,✅ OK
haryana,faridabad,1998,Kharif     ,bajra,15532.0,16000.0,1.030131341746073,0.0959,25.72,28.31,1.2161566,✅ OK
haryana,faridabad,1998,Kharif     ,jowar,21027.0,4000.0,0.1902316069815,0.0959,25.72,28.31,0.5005342,🚨 Low Yield
haryana,faridabad,1998,Kharif     ,moong(green gram),368.0,100.0,0.2717391304347826,0.0959,25.72,28.31,0.600299,✅ OK
haryana,faridabad,1998,Kharif     ,moth,1992.0,400.0,0.2008032128514056,0.0959,25.72,28.31,0.7701816,✅ OK
haryana,faridabad,1998,Kharif     ,rice,30124.0,70000.0,2.323728588500863,0.0959,25.72,28.31,2.0728097,✅ OK
